Year,District Code,District Name,Neighborhood Code,Neighborhood Name,Age,Immigrants,Emigrants,Diferencia
2015,8,Nou Barris,46,el Turó de la Peira,55-59,22,18,4
2015,8,Nou Barris,47,Can Peguera,55-59,4,0,4
2015,8,Nou Barris,48,la Guineueta,55-59,19,13,6
2015,8,Nou Barris,49,Canyelles,55-59,5,4,1
2015,8,Nou Barris,50,les Roquetes,55-59,21,18,3
2015,8,Nou Barris,51,Verdun,55-59,19,17,2
2015,8,Nou Barris,52,la Prosperitat,55-59,37,25,12
2015,8,Nou Barris,53,la Trinitat Nova,55-59,16,13,3
2015,8,Nou Barris,54,Torre Baró,55-59,6,2,4
2015,8,Nou Barris,55,Ciutat Meridiana,55-59,16,9,7
2015,8,Nou Barris,56,Vallbona,55-59,1,1,0
2015,9,Sant Andreu,57,la Trinitat Vella,55-59,19,15,4
2015,9,Sant Andreu,58,Baró de Viver,55-59,7,2,5
2015,9,Sant Andreu,59,el Bon Pastor,55-59,17,10,7
2015,9,Sant Andreu,60,Sant Andreu,55-59,64,46,18
2015,9,Sant Andreu,61,la Sagrera,55-59,34,16,18
2015,9,Sant Andreu,62,el Congrés i els Indians,55-59,14,21,-7
2015,9,Sant Andreu,63,Navas,55-59,25,33,-8
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,55-59,51,46,5
2015,10,Sant Martí,65,el Clot,55-59,36,26,10
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,55-59,22,17,5
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,55-59,16,12,4
2015,10,Sant Martí,68,el Poblenou,55-59,48,34,14
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,55-59,15,9,6
2015,10,Sant Martí,70,el Besòs i el Maresme,55-59,52,43,9
2015,10,Sant Martí,71,Provençals del Poblenou,55-59,29,23,6
2015,10,Sant Martí,72,Sant Martí de Provençals,55-59,36,22,14
2015,10,Sant Martí,73,la Verneda i la Pau,55-59,41,30,11
2015,1,Ciutat Vella,1,el Raval,60-64,81,48,33
2015,1,Ciutat Vella,2,el Barri Gòtic,60-64,33,23,10
2015,1,Ciutat Vella,3,la Barceloneta,60-64,12,23,-11
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",60-64,30,22,8
