Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,40.0,1h,Good,15.0,,,,02/11/2018 2:00,1541120703
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,47.0,1h,Good,4.0,2h,Good,9.0,02/11/2018 2:00,1541120703
Barcelona - Poblenou,Good,2.2045,41.4039,,,,1h,Good,45.0,2h,Good,9.0,02/11/2018 2:00,1541120703
Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,70.0,1h,Good,3.0,1h,Good,7.0,02/11/2018 2:00,1541120703
Barcelona - Sants,--,2.1331,41.3788,,,,1h,--,,,,,02/11/2018 3:00,1541124303
Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,10.0,2h,Good,48.0,3h,Good,14.0,02/11/2018 3:00,1541124303
Barcelona - Gràcia,Good,2.1534,41.3987,2h,Good,32.0,2h,Good,24.0,,,,02/11/2018 3:00,1541124303
Barcelona - Ciutadella,Good,2.1874,41.3864,2h,Good,27.0,2h,Good,24.0,,,,02/11/2018 3:00,1541124303
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,47.0,2h,Good,9.0,,,,02/11/2018 3:00,1541124303
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,50.0,2h,Good,2.0,3h,Good,9.0,02/11/2018 3:00,1541124303
Barcelona - Poblenou,Good,2.2045,41.4039,,,,2h,Good,41.0,3h,Good,9.0,02/11/2018 3:00,1541124303
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,72.0,2h,Good,2.0,3h,Good,7.0,02/11/2018 3:00,1541124303
Barcelona - Sants,--,2.1331,41.3788,,,,1h,--,,,,,02/11/2018 4:00,1541127903
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,3.0,3h,Good,52.0,3h,Good,14.0,02/11/2018 4:00,1541127903
Barcelona - Gràcia,Good,2.1534,41.3987,3h,Good,28.0,3h,Good,25.0,,,,02/11/2018 4:00,1541127903
Barcelona - Ciutadella,Good,2.1874,41.3864,3h,Good,28.0,3h,Good,20.0,,,,02/11/2018 4:00,1541127903
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,41.0,3h,Good,14.0,,,,02/11/2018 4:00,1541127903
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,43.0,3h,Good,6.0,4h,Good,9.0,02/11/2018 4:00,1541127903
Barcelona - Poblenou,Good,2.2045,41.4039,,,,3h,Good,33.0,4h,Good,9.0,02/11/2018 4:00,1541127903
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,72.0,3h,Good,2.0,4h,Good,7.0,02/11/2018 4:00,1541127903
Barcelona - Sants,--,2.1331,41.3788,,,,3h,--,,,,,02/11/2018 5:00,1541131503
Barcelona - Eixample,Good,2.1538,41.3853,4h,Good,2.0,4h,Good,52.0,5h,Good,15.0,02/11/2018 5:00,1541131503
Barcelona - Gràcia,Good,2.1534,41.3987,4h,Good,20.0,4h,Good,33.0,,,,02/11/2018 5:00,1541131503
Barcelona - Ciutadella,Good,2.1874,41.3864,4h,Good,14.0,4h,Good,28.0,,,,02/11/2018 5:00,1541131503
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,26.0,4h,Good,31.0,,,,02/11/2018 5:00,1541131503
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,30.0,4h,Good,11.0,5h,Good,9.0,02/11/2018 5:00,1541131503
Barcelona - Poblenou,Good,2.2045,41.4039,,,,4h,Good,26.0,5h,Good,10.0,02/11/2018 5:00,1541131503
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,77.0,4h,Good,1.0,5h,Good,7.0,02/11/2018 5:00,1541131503
Barcelona - Sants,--,2.1331,41.3788,,,,4h,--,,,,,02/11/2018 6:00,1541135103
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,2.0,5h,Good,48.0,6h,Good,15.0,02/11/2018 6:00,1541135103
Barcelona - Gràcia,Good,2.1534,41.3987,5h,Good,14.0,5h,Good,37.0,,,,02/11/2018 6:00,1541135103
Barcelona - Ciutadella,Good,2.1874,41.3864,5h,Good,8.0,5h,Good,32.0,,,,02/11/2018 6:00,1541135103
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,12.0,5h,Good,53.0,,,,02/11/2018 6:00,1541135103
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,30.0,5h,Good,10.0,6h,Good,9.0,02/11/2018 6:00,1541135103
Barcelona - Poblenou,Good,2.2045,41.4039,,,,5h,Good,27.0,6h,Good,10.0,02/11/2018 6:00,1541135103
Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,76.0,5h,Good,1.0,6h,Good,7.0,02/11/2018 6:00,1541135103
Barcelona - Sants,--,2.1331,41.3788,,,,5h,--,,,,,02/11/2018 7:00,1541138702
Barcelona - Eixample,Good,2.1538,41.3853,6h,Good,23.0,6h,Good,30.0,6h,Good,15.0,02/11/2018 7:00,1541138702
Barcelona - Gràcia,Good,2.1534,41.3987,6h,Good,16.0,6h,Good,40.0,,,,02/11/2018 7:00,1541138702
Barcelona - Ciutadella,Good,2.1874,41.3864,6h,Good,8.0,6h,Good,34.0,,,,02/11/2018 7:00,1541138702
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,14.0,6h,Good,39.0,,,,02/11/2018 7:00,1541138702
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,30.0,6h,Good,11.0,6h,Good,9.0,02/11/2018 7:00,1541138702
Barcelona - Poblenou,Good,2.2045,41.4039,,,,6h,Good,29.0,6h,Good,10.0,02/11/2018 7:00,1541138702
Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,75.0,6h,Good,1.0,7h,Good,7.0,02/11/2018 7:00,1541138702
Barcelona - Sants,Good,2.1331,41.3788,,,,7h,Good,38.0,,,,02/11/2018 8:00,1541142303
Barcelona - Eixample,Good,2.1538,41.3853,7h,Good,2.0,7h,Good,52.0,8h,Good,15.0,02/11/2018 8:00,1541142303
Barcelona - Gràcia,Good,2.1534,41.3987,7h,Good,2.0,7h,Good,64.0,,,,02/11/2018 8:00,1541142303
Barcelona - Ciutadella,Good,2.1874,41.3864,7h,Good,3.0,7h,Good,46.0,,,,02/11/2018 8:00,1541142303
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,6.0,7h,Good,53.0,,,,02/11/2018 8:00,1541142303
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,28.0,7h,Good,17.0,8h,Good,9.0,02/11/2018 8:00,1541142303
Barcelona - Poblenou,Good,2.2045,41.4039,,,,7h,Good,35.0,8h,Good,10.0,02/11/2018 8:00,1541142303
Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,78.0,7h,Good,1.0,8h,Good,7.0,02/11/2018 8:00,1541142303
Barcelona - Sants,Good,2.1331,41.3788,,,,8h,Good,43.0,,,,02/11/2018 9:00,1541145903
Barcelona - Eixample,Good,2.1538,41.3853,8h,Good,7.0,8h,Good,52.0,9h,Good,15.0,02/11/2018 9:00,1541145903
Barcelona - Gràcia,Good,2.1534,41.3987,8h,Good,3.0,8h,Good,65.0,,,,02/11/2018 9:00,1541145903
Barcelona - Ciutadella,Good,2.1874,41.3864,8h,Good,2.0,8h,Good,50.0,,,,02/11/2018 9:00,1541145903
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,11.0,8h,Good,50.0,,,,02/11/2018 9:00,1541145903
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,18.0,8h,Good,31.0,9h,Good,9.0,02/11/2018 9:00,1541145903
Barcelona - Poblenou,Good,2.2045,41.4039,,,,8h,Good,39.0,9h,Good,11.0,02/11/2018 9:00,1541145903
Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,65.0,8h,Good,2.0,9h,Good,7.0,02/11/2018 9:00,1541145903
Barcelona - Sants,Good,2.1331,41.3788,,,,9h,Good,45.0,,,,02/11/2018 10:00,1541149503
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,7.0,9h,Good,60.0,10h,Good,15.0,02/11/2018 10:00,1541149503
Barcelona - Gràcia,Good,2.1534,41.3987,9h,Good,4.0,9h,Good,70.0,,,,02/11/2018 10:00,1541149503
Barcelona - Ciutadella,Good,2.1874,41.3864,9h,Good,3.0,9h,Good,59.0,,,,02/11/2018 10:00,1541149503
Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,8.0,9h,Good,51.0,,,,02/11/2018 10:00,1541149503
Barcelona - Palau Reial,Good,2.1151,41.3875,9h,Good,20.0,9h,Good,27.0,9h,Good,9.0,02/11/2018 10:00,1541149503
Barcelona - Poblenou,Good,2.2045,41.4039,,,,9h,Good,40.0,9h,Good,11.0,02/11/2018 10:00,1541149503
Barcelona - Observ Fabra,Good,2.1239,41.4183,9h,Good,67.0,9h,Good,1.0,10h,Good,7.0,02/11/2018 10:00,1541149503
Barcelona - Sants,Good,2.1331,41.3788,,,,10h,Good,40.0,,,,02/11/2018 11:00,1541153103
Barcelona - Eixample,Good,2.1538,41.3853,10h,Good,6.0,10h,Good,61.0,11h,Good,15.0,02/11/2018 11:00,1541153103
Barcelona - Gràcia,Good,2.1534,41.3987,10h,Good,9.0,10h,Good,65.0,,,,02/11/2018 11:00,1541153103
Barcelona - Ciutadella,Good,2.1874,41.3864,10h,Good,3.0,10h,Good,54.0,,,,02/11/2018 11:00,1541153103
Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,15.0,10h,Good,42.0,,,,02/11/2018 11:00,1541153103
Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,15.0,10h,Good,28.0,11h,Good,9.0,02/11/2018 11:00,1541153103
Barcelona - Poblenou,Good,2.2045,41.4039,,,,10h,Good,39.0,11h,Good,12.0,02/11/2018 11:00,1541153103
Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,72.0,10h,Good,1.0,11h,Good,7.0,02/11/2018 11:00,1541153103
Barcelona - Sants,Good,2.1331,41.3788,,,,11h,Good,39.0,,,,02/11/2018 12:00,1541156703
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,4.0,11h,Good,76.0,12h,Good,16.0,02/11/2018 12:00,1541156703
Barcelona - Gràcia,Good,2.1534,41.3987,11h,Good,9.0,11h,Good,57.0,,,,02/11/2018 12:00,1541156703
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,6.0,11h,Good,48.0,,,,02/11/2018 12:00,1541156703
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,33.0,11h,Good,25.0,,,,02/11/2018 12:00,1541156703
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,21.0,11h,Good,24.0,12h,Good,9.0,02/11/2018 12:00,1541156703
Barcelona - Poblenou,Good,2.2045,41.4039,,,,11h,Good,39.0,12h,Good,13.0,02/11/2018 12:00,1541156703
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,75.0,11h,Good,1.0,12h,Good,7.0,02/11/2018 12:00,1541156703
Barcelona - Sants,Good,2.1331,41.3788,,,,11h,Good,39.0,,,,02/11/2018 12:00,1541160303
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,4.0,11h,Good,76.0,12h,Good,16.0,02/11/2018 12:00,1541160303
Barcelona - Gràcia,Good,2.1534,41.3987,11h,Good,9.0,11h,Good,57.0,,,,02/11/2018 12:00,1541160303
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,6.0,11h,Good,48.0,,,,02/11/2018 12:00,1541160303
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,33.0,11h,Good,25.0,,,,02/11/2018 12:00,1541160303
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,21.0,11h,Good,24.0,12h,Good,9.0,02/11/2018 12:00,1541160303
Barcelona - Poblenou,Good,2.2045,41.4039,,,,11h,Good,39.0,12h,Good,13.0,02/11/2018 12:00,1541160303
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,75.0,11h,Good,1.0,12h,Good,7.0,02/11/2018 12:00,1541160303
Barcelona - Sants,Good,2.1331,41.3788,,,,13h,Good,19.0,,,,02/11/2018 14:00,1541163903
Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,21.0,13h,Good,47.0,14h,Good,17.0,02/11/2018 14:00,1541163903
Barcelona - Gràcia,Good,2.1534,41.3987,13h,Good,28.0,13h,Good,37.0,,,,02/11/2018 14:00,1541163903
Barcelona - Ciutadella,Good,2.1874,41.3864,13h,Good,26.0,13h,Good,29.0,,,,02/11/2018 14:00,1541163903
Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,44.0,13h,Good,15.0,,,,02/11/2018 14:00,1541163903
Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,46.0,13h,Good,5.0,14h,Good,10.0,02/11/2018 14:00,1541163903
Barcelona - Poblenou,Good,2.2045,41.4039,,,,13h,Good,43.0,14h,Good,14.0,02/11/2018 14:00,1541163903
Barcelona - Observ Fabra,Good,2.1239,41.4183,13h,Good,65.0,13h,Good,4.0,14h,Good,7.0,02/11/2018 14:00,1541163903
Barcelona - Sants,Good,2.1331,41.3788,,,,14h,Good,15.0,,,,02/11/2018 15:00,1541167503
Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,35.0,14h,Good,36.0,15h,Good,17.0,02/11/2018 15:00,1541167503
Barcelona - Gràcia,Good,2.1534,41.3987,14h,Good,38.0,14h,Good,31.0,,,,02/11/2018 15:00,1541167503
Barcelona - Ciutadella,Good,2.1874,41.3864,14h,Good,31.0,14h,Good,31.0,,,,02/11/2018 15:00,1541167503
Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,49.0,14h,Good,14.0,,,,02/11/2018 15:00,1541167503
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,48.0,14h,Good,5.0,15h,Good,10.0,02/11/2018 15:00,1541167503
Barcelona - Poblenou,Good,2.2045,41.4039,,,,14h,Good,41.0,15h,Good,15.0,02/11/2018 15:00,1541167503
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,59.0,14h,Good,6.0,15h,Good,7.0,02/11/2018 15:00,1541167503
Barcelona - Sants,Good,2.1331,41.3788,,,,15h,Good,20.0,,,,02/11/2018 16:00,1541171103
Barcelona - Eixample,Good,2.1538,41.3853,15h,Good,34.0,15h,Good,40.0,16h,Good,17.0,02/11/2018 16:00,1541171103
Barcelona - Gràcia,Good,2.1534,41.3987,15h,Good,42.0,15h,Good,27.0,,,,02/11/2018 16:00,1541171103
Barcelona - Ciutadella,Good,2.1874,41.3864,15h,Good,28.0,15h,Good,38.0,,,,02/11/2018 16:00,1541171103
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,50.0,15h,Good,15.0,,,,02/11/2018 16:00,1541171103
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,45.0,15h,Good,11.0,15h,Good,10.0,02/11/2018 16:00,1541171103
Barcelona - Poblenou,Good,2.2045,41.4039,,,,15h,Good,35.0,15h,Good,15.0,02/11/2018 16:00,1541171103
Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,59.0,15h,Good,8.0,16h,Good,7.0,02/11/2018 16:00,1541171103
Barcelona - Sants,Good,2.1331,41.3788,,,,16h,Good,13.0,,,,02/11/2018 17:00,1541174703
Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,33.0,16h,Good,46.0,17h,Good,17.0,02/11/2018 17:00,1541174703
Barcelona - Gràcia,Good,2.1534,41.3987,16h,Good,48.0,16h,Good,25.0,,,,02/11/2018 17:00,1541174703
Barcelona - Ciutadella,Good,2.1874,41.3864,16h,Good,42.0,16h,Good,29.0,,,,02/11/2018 17:00,1541174703
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,49.0,16h,Good,15.0,,,,02/11/2018 17:00,1541174703
Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,55.0,16h,Good,5.0,17h,Good,10.0,02/11/2018 17:00,1541174703
Barcelona - Poblenou,Good,2.2045,41.4039,,,,16h,Good,30.0,17h,Good,15.0,02/11/2018 17:00,1541174703
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,66.0,16h,Good,5.0,17h,Good,7.0,02/11/2018 17:00,1541174703
Barcelona - Sants,Good,2.1331,41.3788,,,,17h,Good,54.0,,,,02/11/2018 18:00,1541178303
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,11.0,17h,Good,76.0,18h,Good,17.0,02/11/2018 18:00,1541178303
Barcelona - Gràcia,Good,2.1534,41.3987,17h,Good,28.0,17h,Good,56.0,,,,02/11/2018 18:00,1541178303
Barcelona - Ciutadella,Good,2.1874,41.3864,17h,Good,60.0,17h,Good,18.0,,,,02/11/2018 18:00,1541178303
Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,48.0,17h,Good,25.0,,,,02/11/2018 18:00,1541178303
Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,33.0,17h,Good,33.0,18h,Good,10.0,02/11/2018 18:00,1541178303
Barcelona - Poblenou,Good,2.2045,41.4039,,,,17h,Good,35.0,18h,Good,15.0,02/11/2018 18:00,1541178303
Barcelona - Observ Fabra,Good,2.1239,41.4183,17h,Good,56.0,17h,Good,18.0,18h,Good,7.0,02/11/2018 18:00,1541178303
Barcelona - Sants,Good,2.1331,41.3788,,,,18h,Good,41.0,,,,02/11/2018 19:00,1541181903
Barcelona - Eixample,Good,2.1538,41.3853,18h,Good,8.0,18h,Good,79.0,19h,Good,17.0,02/11/2018 19:00,1541181903
Barcelona - Gràcia,Good,2.1534,41.3987,18h,Good,23.0,18h,Good,63.0,,,,02/11/2018 19:00,1541181903
Barcelona - Ciutadella,Good,2.1874,41.3864,18h,Good,39.0,18h,Good,30.0,,,,02/11/2018 19:00,1541181903
Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,30.0,18h,Good,52.0,,,,02/11/2018 19:00,1541181903
Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,27.0,18h,Good,43.0,18h,Good,10.0,02/11/2018 19:00,1541181903
Barcelona - Poblenou,Good,2.2045,41.4039,,,,18h,Good,55.0,18h,Good,15.0,02/11/2018 19:00,1541181903
Barcelona - Observ Fabra,Good,2.1239,41.4183,18h,Good,19.0,18h,Good,60.0,19h,Good,7.0,02/11/2018 19:00,1541181903
Barcelona - Sants,Good,2.1331,41.3788,,,,19h,Good,65.0,,,,02/11/2018 20:00,1541185503
Barcelona - Eixample,Good,2.1538,41.3853,19h,Good,2.0,19h,Good,89.0,20h,Good,17.0,02/11/2018 20:00,1541185503
Barcelona - Gràcia,Good,2.1534,41.3987,19h,Good,8.0,19h,Good,75.0,,,,02/11/2018 20:00,1541185503
Barcelona - Ciutadella,Good,2.1874,41.3864,19h,Good,9.0,19h,Good,61.0,,,,02/11/2018 20:00,1541185503
Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,4.0,19h,Good,84.0,,,,02/11/2018 20:00,1541185503
Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,1.0,19h,Good,76.0,20h,Good,10.0,02/11/2018 20:00,1541185503
Barcelona - Poblenou,Good,2.2045,41.4039,,,,19h,Good,88.0,20h,Good,16.0,02/11/2018 20:00,1541185503
Barcelona - Observ Fabra,Good,2.1239,41.4183,19h,Good,44.0,19h,Good,35.0,20h,Good,7.0,02/11/2018 20:00,1541185503
Barcelona - Sants,Good,2.1331,41.3788,,,,20h,Good,83.0,,,,02/11/2018 21:00,1541189103
Barcelona - Eixample,Moderate,2.1538,41.3853,20h,Good,1.0,20h,Moderate,92.0,21h,Good,17.0,02/11/2018 21:00,1541189103
Barcelona - Gràcia,Good,2.1534,41.3987,20h,Good,2.0,20h,Good,85.0,,,,02/11/2018 21:00,1541189103
Barcelona - Ciutadella,Good,2.1874,41.3864,19h,Good,9.0,19h,Good,61.0,,,,02/11/2018 21:00,1541189103
Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,11.0,20h,Good,67.0,,,,02/11/2018 21:00,1541189103
Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,1.0,20h,Good,76.0,21h,Good,10.0,02/11/2018 21:00,1541189103
Barcelona - Poblenou,Good,2.2045,41.4039,,,,20h,Good,84.0,21h,Good,16.0,02/11/2018 21:00,1541189103
Barcelona - Observ Fabra,Good,2.1239,41.4183,20h,Good,49.0,20h,Good,21.0,21h,Good,7.0,02/11/2018 21:00,1541189103
Barcelona - Sants,Good,2.1331,41.3788,,,,21h,Good,75.0,,,,02/11/2018 22:00,1541192703
Barcelona - Eixample,Good,2.1538,41.3853,21h,Good,2.0,21h,Good,88.0,22h,Good,18.0,02/11/2018 22:00,1541192703
Barcelona - Gràcia,Good,2.1534,41.3987,21h,Good,4.0,21h,Good,68.0,,,,02/11/2018 22:00,1541192703
Barcelona - Ciutadella,--,2.1874,41.3864,20h,--,,20h,--,,,,,02/11/2018 22:00,1541192703
Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,11.0,21h,Good,53.0,,,,02/11/2018 22:00,1541192703
Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,21.0,21h,Good,40.0,21h,Good,10.0,02/11/2018 22:00,1541192703
Barcelona - Poblenou,Good,2.2045,41.4039,,,,21h,Good,83.0,21h,Good,16.0,02/11/2018 22:00,1541192703
Barcelona - Observ Fabra,Good,2.1239,41.4183,21h,Good,33.0,21h,Good,28.0,22h,Good,7.0,02/11/2018 22:00,1541192703
Barcelona - Sants,--,2.1331,41.3788,,,,,,,,,,02/11/2018 23:00,1541196303
Barcelona - Eixample,Good,2.1538,41.3853,,,,,,,23h,Good,18.0,02/11/2018 23:00,1541196303
Barcelona - Gràcia,--,2.1534,41.3987,,,,,,,,,,02/11/2018 23:00,1541196303
Barcelona - Ciutadella,--,2.1874,41.3864,,,,,,,,,,02/11/2018 23:00,1541196303
Barcelona - Vall Hebron,--,2.148,41.4261,,,,,,,,,,02/11/2018 23:00,1541196303
Barcelona - Palau Reial,Good,2.1151,41.3875,,,,,,,23h,Good,10.0,02/11/2018 23:00,1541196303
Barcelona - Poblenou,Good,2.2045,41.4039,,,,,,,23h,Good,16.0,02/11/2018 23:00,1541196303
Barcelona - Observ Fabra,Good,2.1239,41.4183,,,,,,,23h,Good,7.0,02/11/2018 23:00,1541196303
Barcelona - Sants,Good,2.1331,41.3788,,,,0h,Good,61.0,,,,03/11/2018 0:00,1541199903
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,2.0,0h,Good,76.0,0h,Good,19.0,03/11/2018 0:00,1541199903
Barcelona - Gràcia,Good,2.1534,41.3987,0h,Good,3.0,0h,Good,72.0,,,,03/11/2018 0:00,1541199903
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,9.0,0h,Good,61.0,,,,03/11/2018 0:00,1541199903
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,3.0,0h,Good,58.0,,,,03/11/2018 0:00,1541199903
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,1.0,0h,Good,63.0,0h,Good,10.0,03/11/2018 0:00,1541199903
Barcelona - Poblenou,Good,2.2045,41.4039,,,,0h,Good,60.0,0h,Good,17.0,03/11/2018 0:00,1541199903
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,67.0,0h,Good,4.0,0h,Good,7.0,03/11/2018 0:00,1541199903
Barcelona - Sants,Good,2.1331,41.3788,,,,0h,Good,58.0,,,,03/11/2018 1:00,1541203503
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,2.0,0h,Good,70.0,1h,Good,19.0,03/11/2018 1:00,1541203503
Barcelona - Gràcia,Good,2.1534,41.3987,0h,Good,4.0,0h,Good,54.0,,,,03/11/2018 1:00,1541203503
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,2.0,0h,Good,54.0,,,,03/11/2018 1:00,1541203503
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,2.0,0h,Good,55.0,,,,03/11/2018 1:00,1541203503
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,9.0,0h,Good,41.0,0h,Good,10.0,03/11/2018 1:00,1541203503
Barcelona - Poblenou,Good,2.2045,41.4039,,,,0h,Good,56.0,0h,Good,17.0,03/11/2018 1:00,1541203503
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,53.0,0h,Good,11.0,0h,Good,7.0,03/11/2018 1:00,1541203503
Barcelona - Sants,Good,2.1331,41.3788,,,,1h,Good,51.0,,,,03/11/2018 2:00,1541207103
Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,1.0,1h,Good,63.0,2h,Good,19.0,03/11/2018 2:00,1541207103
Barcelona - Gràcia,Good,2.1534,41.3987,1h,Good,2.0,1h,Good,52.0,,,,03/11/2018 2:00,1541207103
Barcelona - Ciutadella,Good,2.1874,41.3864,1h,Good,1.0,1h,Good,48.0,,,,03/11/2018 2:00,1541207103
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,3.0,1h,Good,48.0,,,,03/11/2018 2:00,1541207103
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,9.0,1h,Good,34.0,2h,Good,11.0,03/11/2018 2:00,1541207103
Barcelona - Poblenou,Good,2.2045,41.4039,,,,1h,Good,46.0,2h,Good,17.0,03/11/2018 2:00,1541207103
Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,49.0,1h,Good,12.0,2h,Good,8.0,03/11/2018 2:00,1541207103
Barcelona - Sants,Good,2.1331,41.3788,,,,2h,Good,47.0,,,,03/11/2018 3:00,1541210703
Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,1.0,2h,Good,57.0,2h,Good,20.0,03/11/2018 3:00,1541210703
Barcelona - Gràcia,Good,2.1534,41.3987,2h,Good,5.0,2h,Good,45.0,,,,03/11/2018 3:00,1541210703
Barcelona - Ciutadella,Good,2.1874,41.3864,2h,Good,1.0,2h,Good,46.0,,,,03/11/2018 3:00,1541210703
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,6.0,2h,Good,44.0,,,,03/11/2018 3:00,1541210703
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,16.0,2h,Good,25.0,3h,Good,11.0,03/11/2018 3:00,1541210703
Barcelona - Poblenou,Good,2.2045,41.4039,,,,2h,Good,41.0,3h,Good,18.0,03/11/2018 3:00,1541210703
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,40.0,2h,Good,17.0,3h,Good,8.0,03/11/2018 3:00,1541210703
Barcelona - Sants,Good,2.1331,41.3788,,,,3h,Good,25.0,,,,03/11/2018 4:00,1541214303
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,10.0,3h,Good,39.0,4h,Good,20.0,03/11/2018 4:00,1541214303
Barcelona - Gràcia,Good,2.1534,41.3987,3h,Good,16.0,3h,Good,31.0,,,,03/11/2018 4:00,1541214303
Barcelona - Ciutadella,Good,2.1874,41.3864,3h,Good,3.0,3h,Good,47.0,,,,03/11/2018 4:00,1541214303
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,19.0,3h,Good,31.0,,,,03/11/2018 4:00,1541214303
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,30.0,3h,Good,11.0,4h,Good,11.0,03/11/2018 4:00,1541214303
Barcelona - Poblenou,Good,2.2045,41.4039,,,,3h,Good,39.0,4h,Good,18.0,03/11/2018 4:00,1541214303
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,52.0,3h,Good,6.0,3h,Good,8.0,03/11/2018 4:00,1541214303
